<<<<<<< HEAD
*PRE	PRE	4.840	11.180	6.340	une fin d' après midi radieuse un soleil presque sirupeux dans les rues paisibles de la rive gauche
*PRE	PRE	11.180	16.430	5.250	et partout sur les visages dans les mille bruits familiers de la rue de la joie de vivre
*PRE	PRE	16.430	25.180	8.750	il y a des jours ainsi où l' existence est moins quotidienne et où les passants sur les trottoirs les tramways et les autos semblent jouer leur rôle dans une féerie 
*PRE	PRE	25.180	34.680	9.500	c' était le vingt+sept juin quand Maigret arriva à la poterne de la santé le fonctionnaire attendri regardait un chat blanc qui jouait avec le chien de la crémière
*PRE	PRE	34.680	37.950	3.270	 il doit y avoir des jours aussi où les pavés sont plus sonores
*PRE	PRE	37.950	41.010	3.060	les pas de Maigret résonnèrent dans la cour immense
*PRE	PRE	41.010	43.810	2.800	au bout d' un couloir il interrogea un gardien
*PRE	PRE	43.810	45.280	1.470	il a appris
*PRE	PRE	45.280	46.610	1.330	pas encore
*PRE	PRE	50.210	57.710	7.500	Georges+Simenon et la guinguette à deux sous une enquête du commissaire maigret librairie Arthème+Fayard 1931
*PRE	PRE	62.200	65.370	3.170	métropolitain les jeudi de l'architecture 
*PRE	PRE	67.510	70.420	2.910	nous retrouvons aujourd'hui Roland+Castro
*PRE	PRE	70.420	72.190	1.770	l' architecte Roland+Castro
*PRE	PRE	72.190	76.800	4.610	non pas qu' il aurait souscrit un abonnement dans cette émission mais nous l' avions déjà par deux fois invité
*PRE	PRE	76.800	82.070	5.270	et par deux fois un déferlement un torrent d' actualité avait réduit à peau de chagrin le temps que nous lui consacrions 
*PRE	PRE	82.070	85.380	3.310	nous avions en deux émissions à peine abordé ses origines
*PRE	PRE	85.380	90.130	4.750	ses origines sociales notamment on parlait de sa jeunesse de son gauchisme et de sa psychanalyse
*PRE	PRE	90.130	94.010	3.880	aujourd'hui nous passerons au vif du sujet et ce sera à propos de son architecture
*PRE	PRE	94.010	97.410	3.400	Roland Ricardo+Porro que nous rencontrions il y a trois semaines 
*PRE	PRE	97.410	101.360	3.950	considération pour sa propre architecture comme romantique et Castro aussi la sienne pour romanesque
*PRE	PRE	101.360	102.780	1.420	il nous dira ce qu'il entend par là
*PRE	PRE	102.780	104.790	2.010	et puis ce sera surtout bien sûr à propos d' urbanisme
*PRE	PRE	104.790	106.570	1.780	du remodelage des grands ensembles
*PRE	PRE	106.570	107.420	0.850	de Banlieues+89
*PRE	PRE	107.420	109.600	2.180	et évidemment du Grand Paris 
