*PRE, la question des surcoûts liés à la crise en revanche 
*PRE,est déjà sur toutes les lèvres 
*PRE,elle concerne de nombreux chantiers 
*PRE,explique Bruno Cavalier à la tête de la fédération nationale des travaux publics 
*PRE,un dossier sensible de plus sur la table du gouvernement
*PRE,reportage signé claire chaudière à retrouver sur notre site à la page du grand angle notre invité dans cinq minutes et raymond girardi vice président du syndicat agricole modef le monde agricole manquent de main d' oeuvre les exploitants espèrent pouvoir bientôt retrouver les saisonniers étrangers 
*PRE,mais pour le moment tout est bloqué à cause de l' épidémie 
*PRE,une menuiserie qui se lancent dans la découpe de plexiglas pour faire face à la crise voilà un exemple de con de reconversion rapide et réussi l' entreprise a tellement de commandes qu' à embaucher de nouveaux salariés son patron est l' invité de philippe bertrand dans deux minutes d' abord voici la suite 
*PRE,de notre feuilleton sportif dans les eaux de france où de nombreux clubs amateurs de sport collectif 
*PRE,sont exsangues s' empare spectacle de reprise avec des budgets à boucler pour la prochaine saison et pour certains la crainte de perdre des licenciés 
*PRE,la ministre des sports roxana maracineanu nous a promis cette semaine un plan de relance mais sans livrer de détails et sur le terrain le chevet striée l' inquiétude grandit jour après jour 
*PRE,l' image peut sembler anecdotique et pourtant les pâquerettes envahissent toujours du les terrains de foot des petits clubs amateurs comme celui du sporting club dany 
*PRE,on a l' impression que on est dans un film de science fiction où tout le monde est parti et on n' est plus revenue patres 
*PRE,bazin ce qui a le président de ce club du département du nord fort de trois cent quarante sept licencier avec lesquels il tente d' entretenir les liens via les réseaux sociaux mais sans trop savoir de quoi l' avenir sera fait 
*PRE,comment refaire venir les les gamins au stade euh actuellement euh financièrement avec nos partenaires eux aussi ont subi les conséquences parallèlement sa du premier mais on va dire jusqu' au trente juin c' est là où on organise nos plus grandes manifestations sportives 
*PRE,avec les tournois les l' auto les brocante qui font rentrer de l' argent dans les caisses des clubs là rien mais 
perso 2,cinq milliards d'euro par an
perso 3,on met beaucoup de temps
perso 3,les journées risquent d'être plus longues
perso 3,vous savez dans des entreprises de BTP 
perso 3,où les marges sont de deux pour cent
perso 3,quand vous imaginez aujourd'hui qu' on peut avoir des surcoûts de 10  15  même 20 pour cent
perso 3,les entreprises n'y survivraient pas 
perso 3,donc il faut tous ensemble que nous trouvions la solution
