speaker,text,label
*PRE,aperçu réactions politiques sortie discours,sadness
*PRE,Daik Audouit Pierre Julien Quiers,
perso 3,élus gauche arrivés rangs serrés,
perso 3,prêts combat,
perso 3,pa besoin montrer point,
perso 3,Nicolas Sarkozy a tendu main souhaite associer tous projets,
perso 3,a droite sans surprise félicite Valérie Pécresse programme régionales,
perso 3,' unanimité ' plus mise,
perso 3,' urbanisme,
perso 3,certains nouvelle réglementation rime dérégulation,
perso 3,hier ' heure consensus,
perso 3,tape ' épaule,
perso 3,attention campagne régionales point peuvent,
perso 4,peut bosser,
perso 4,mesre où chacun a accepté s'influencer,
perso 4,crois que~ ' ' a pa volonté tout ca exprimer,
perso 4,' imposer ' haut,
perso 5,c'est bien offre véritable partenariat,
perso 5,euh système transport fonctionnera euh,
perso 5,échéance ' espère,
perso 5,10 an moins euh,
perso 5,peu faim quant mode financement,
perso 6,fait ' parle Paris monde,
perso 6,civilisation urbaine euh,
perso 6,' quelque chose très important,
perso 6,après habitant cocitoyens,
perso 6,faut réalisations concrètes matière transport logements ville,
perso 6,c'est dessus qu'il faut travailler,
perso 7,évident projet,
perso 7,projet euh historique région Ile-de-France,
perso 7,va réveiller région Ile-de-France,
perso 7,ça va être évidemment premier engagement,
perso 8,président a fixé 10 an atteindre ' objectif,
perso 8,donc ' extrêmement ambitieux,
perso 8,espérons allons réussir,
perso 9,' a pa aborder question gouvernement,
perso 9,gouvernance,
perso 9,donc euh va vite mettre loi place,
perso 9,' ' état a dirigé structure ( actuelles ),
perso 9,enfin pense là citoyen loin tout ça,
perso 9,politique aussi,
perso 9,là sui sun peu interloqué,
