speaker,text,label
*PRE,maison trouve futur chantier métro Grand Paris,fear
*PRE,Grand Paris express c'est 200 kilomètres réseaux transport public,
*PRE,tout autour Paris,
*PRE,époux Boulet 24 leurs voisins,
*PRE,' déchirement,
*PRE,carton Abderrahmane Fekkane a dû résoudre faire 2017,
*PRE,boucherie aussi tracé Grand Paris express,
*PRE,pendant deux an commerce a fonctionné perte,
*PRE,milieu engins chantier tranchées,
*PRE,contrecoeur a signé accord ' amiable,
*PRE,cinq an cet avocat a déffendu 150 client,
*PRE,chaque fois ' âpres négociations,
*PRE,selon société Grand Paris,
*PRE,90 cent dossier règlent ' amiable évitant ' expropriation,
*PRE,société Grand Paris propriétaires disposent deux an trouver,
*PRE,accord amiables solution personnalisées conviendront chacun,
*PRE,jour 400 familles commerçants entreprises dû déménager,
*PRE,laisser place Grand Paris express,
perso 2,besoin donc 25 parcelles,
perso 2,25 parcelles là,
perso 2,donc ça commence a l'immeuble ça prend,
perso 2,tout toutes construction,
perso 2,tous pavillons jusqu ' là ba,
perso 3,a élever no enfants maisons,
perso 3,a mal imaginer qu'un jour va devoir faire carrtons,
perso 3,mettre toute vie carton,
perso 3,aller endroit,
perso 3,où connaîtra personne,
perso 4,voila boucherie situait juste après bloc là,
perso 4,j'ose plus passer ici tellement passe plus ici,
perso 4,j'essaye d'oublier,
perso 4,c'est très difficile,
perso 5,' difficile définir euh comment peut être bien bien indemniser,
perso 5,euh ' abord avant tout parce euh,
perso 5,l'expropriaton prend jamais compte dimension psychologique,
perso 5,l'impact psychologique,
perso 5,' appelle préjudice moral,
