speaker,text,label
*PRE,devraient durer 10 an commenceraient 2012,sadness
*PRE,faut dire ' a urgence,
*PRE,regardez reportage William Van Daniel Petitcuenot ),
*PRE,aller plateau,
*PRE,Daik ( Codouite ) alors hier cité ' architecture transport,
*PRE,chef ' État a annoncé,
*PRE,' a dit fois mesure ' orientation,
*PRE,donner trounis,
*PRE,alors également direct plateau,
*PRE,Jean-François Lamour Élu parisien,
*PRE,bonjour merci d'être là,
*PRE,président groupe UMP ville Paris,
*PRE,président République a repris proposition socialistes,
*PRE,notamment ' urgence ligne 13,
*PRE,parlait l'instant ligne 14,
*PRE,réaction,
*PRE,merci,
*PRE,merci monsieur Lamour restez bien sûr direct,
*PRE,autre gros chantier logement,
*PRE,70 mille logements doivent être construits an Ile-de-France,
*PRE,double fait actuellement président République,
*PRE,veut finir dortoirs zone ' activités industrielles souhaite réintroduire villes,
perso 1,c'est comme ça tous matins,
perso 1,lundi vendredi,
perso 1,maman trois petite fille,
perso 1,Valérie Martins laisse famille endormie,
perso 1,prendre train six heures,
perso 1,petite gare Fontaine-le-Port,
perso 1,depuis décembre,
perso 1,Valérie ' a plus train directs entre Fontaine-le-Port Paris,
perso 1,doit changer quai Melun,
perso 1,quelques minute plus trajet,
perso 1,matin -là comme souvent ' petit gris,
perso 1,présente,
perso 1,fois Gare Lyon,
perso 1,Valérie encore très loin ' être arrivée,
perso 1,doit prendre correspondance,
perso 1,ligne quatorze,
perso 1,puis ligne neuf encore cinq minute pied,
perso 1,jusqu ' travail,
perso 1,Valérie brodeuse,
perso 1,atelier couture 16e arrondissement,
perso 1,porte-à-porte mi heure quarante cinq,
perso 1,trajet ' faudra refaire sen inverse quelques heures,
perso 1,sommeil bien mérité car demain déjà tout recommence,
perso 2,' rythme prendre euh,
perso 2,lève cinq heures puis après euh,
perso 2,viens pied c'est 10 minute pied,
perso 2,' claqué porte,
perso 2,tout monde dormait,
perso 2,plus grande reveille toute seule débrouille prend bus,
perso 2,euh fille neuf an trois an ' mari prépare avant ' aller travailler,
perso 2,euh non ça ça empire,
perso 2,a beaucoup train gris,
perso 2,rapport ' époque,
perso 2,train deux étages,
perso 2,train euh l'hiver euh a pa tout chauffage,
perso 2,gèle,
perso 2,a trop chauffage,
perso 2,puis très ( ? ),
perso 2,c'est ligne 14 ligne a desfois bus,
perso 2,change peu,
perso 2,bus c'est plus agréable aussi,
perso 2,met peu plus temp quand,
perso 2,vie c'est quand meme perte temp,
perso 2,tous jours,
perso 2,oui ça vaut coup quand parce ' toujours vécu campagne,
perso 2,j'ai pa envie changer,
perso 2,deux ouvrières habiter très loin,
perso 2,donc préfère arriver bonne heure matin repartir euh très tôt soir,
perso 2,euh ' occuper enfants repas bain après dodo voilà,
perso 3,bah oui a tellement projets ' a tête tourne,
perso 3,monsieur Braquezec président Plaine Commune,
perso 3,' intercommunalité autour Saint-Denis,
perso 3,alors transport crée grand mythe autour Paris,
perso 3,prolonge ligne déjà existantes,
perso 3,veut réfléchir tarification temp réfléchir ' organisation,
perso 3,a pa trop choses temp,
perso 3,' manque peu priorité,
perso 3,fera pa tout temp,
perso 3,dirait qu'il manque priorité,
perso 3,parce moment faut dire,
perso 3,c'est ça qu'on commence premier,
perso 4,sais pa,
perso 4,ça dépendra moyens qu'on donnera autres,
perso 4,attend euh ' attend,
perso 4,' attend pa ' ailleurs espère ' état euh jouera rôle,
perso 4,domaine puis aussi certain nombre,
perso 4,partenaires privés,
perso 4,parce vois pa comment pourrait financer 35 milliard,
perso 4,sans euh partenaires partenaires privés,
perso 4,pense pa ça euh quelque chose vécue comme euh,
perso 4,négatif niveau population parce euh,
perso 4,' engagé dix an viennent,
perso 4,a véritablement besoins répondre,
perso 4,attentes population,
perso 4,pense qu'on,
perso 4,pense qu'on peut pa hiérarchiser,
perso 4,pense qu'on besoins mener front l'ensemble projets,
perso 4,parce a projets désenclavement,
perso 4,euh importants projets exemple,
perso 4,' amélioration pense ligne 13 métro,
perso 4,pense gare rer b,
perso 4,pense toutes ligne très saturées,
perso 4,' autre côté a aussi besoin lier,
perso 4,liaison directes entre Defense Roissy,
perso 4,vient exemple Pleyel,
perso 4,quelque chose ' important développement économique secteur,
perso 5,bonjour,
perso 5,oui surtout surtout ligne quatorze effectivement,
perso 5,crois ' hier président République,
perso 5,a mi tout monde ' accord,
perso 5,projet ambitieux surtout aussi dead ligne ' dire 10 an,
perso 5,réaliser,
perso 5,cet ambitieux projet,
perso 5,fois matière transport sait ' priorité,
perso 5,matière logements,
perso 5,aussi ' activité économique,
perso 5,' retenu particulier volonté ' aller jusqu ' Havre,
perso 5,crée ainsi nouvelles synergy,
perso 5,donc doutez somme vraiment très satisfait,
perso 5,voir cette proposition président,
perso 5,proposition ' ailleurs concertation travail,
perso 5,tous Élus ' a bien précisé,
perso 5,majorités opposition,
perso 5,fois conclure accord avant début ',
perso 5,ensuite travers ' loi mettre place projet,
perso 5,savez ' ' impression ' aujourd'hui,
perso 5,président a répondu ' attente franciliens,
perso 5,particulier matière transport,
perso 5,quand entend euh a entendu a a quelques instant,
perso 5,témoignage cette femme rendait travail,
