speaker,text,label
*PRE,( Razida Arezid ) Benjamin Poulain Claire ( Verof ),sadness
*PRE,' très peu nombreux riverains serrent coudes,
*PRE,lancé pétition,
*PRE,Nicole Roger Lesellier ' pa hésités signer,
*PRE,société grand paris compte pa modifier projet,
*PRE,affirme tout mettre oeuvre propriétaires concernés,
perso 2,projet toute vie,
perso 2,Jean François Fabienne Boulet 76 70 an emménagé cette maison a 20ans,
perso 2,aujourd'hui c'est chantier étro Grand Paris enace quotidien,
perso 2,futur ligne métro doit relie ville Saint-Denis,
perso 2,celle Champigny passant Rosny-sous-Bois,
perso 2,tout 25 maisons devraient être détruites totalement,
perso 3,besoin donc 25 parcelles,
perso 3,25 parcelle là,
perso 3,donc ça commence l'immeuble prend tout,
perso 3,toutes construction,
perso 3,tout pavillons,
perso 3,jusque là ba,
perso 3,euh,
perso 4,a mal imaginer qu'un jour va devoir faire carton,
perso 4,mettre toute vie carton,
perso 4,aller endroit,
perso 4,où,
perso 4,connaîtra personne,
perso 4,a élever no enfants maisons,
perso 4,a,
perso 4,veux dire qu'il yy a tant souvenir aussi,
perso 5,défendra maximum,
perso 5,a pa tout envie,
perso 6,comme euh dit Fabienne femme,
perso 6,s'attachera bariière,
