speaker,text,label
*PRE,' vingt+sept juin quand Maigret arriva poterne santé fonctionnaire attendri regardait chat blanc jouait chien crémière,joy
*PRE,doit avoir jours aussi où pavés plus sonores,
*PRE,pa Maigret résonnèrent cour immense,
*PRE,bout ' couloir interrogea gardien,
*PRE,a appris,
*PRE,pa encore,
*PRE,Georges+Simenon guinguette deux sou enquête commissaire maigret librairie Arthème+Fayard 1931,
*PRE,métropolitain jeudi l'architecture,
*PRE,retrouvons aujourd'hui Roland+Castro,
*PRE,' architecte Roland+Castro,
*PRE,non pa ' souscrit abonnement cette émission ' déjà deux fois invité,
*PRE,deux fois déferlement torrent ' actualité réduit peau chagrin temp consacrions,
*PRE,deux émissions peine abordé origines,
*PRE,origines sociales notamment parlait jeunesse gauchisme psychanalyse,
*PRE,aujourd'hui passerons vif sujet serum propos architecture,
*PRE,Roland Ricardo+Porro rencontrions a trois semaines,
*PRE,considération propre architecture comme romantique Castro aussi sienne romanesque,
*PRE,dira qu'il entend là,
*PRE,puis serum surtout bien sûr propos ' urbanisme,
*PRE,remodelage grand ensemble,
*PRE,Banlieues+89,
*PRE,évidemment Grand Paris,
*PRE,petite affaire HLM Courcouronnes,
*PRE,certains échanges internet depuis quelques jours posent fois plus question démolition grand petits ensemble logements sociaux,
*PRE,destin immeubles notamment banlieue parfois cruel leurs habitant aussi leurs architectes,
*PRE,notamment depuis nouvelles procédures rénovation urbaine,
*PRE,qu'on appelle Anru A R U,
*PRE,préconisent financent démolition nom diver critères,
*PRE,critères sociaux critères désenclavement puis parfois critères police surveillance critères sécurité,
*PRE,édifice figure catalogue ' exposition Pavillon ' Arsenal années quatre+vingts va faire frais,
*PRE,faudra réimprimer page cent+quarante+neuf cet ouvrage peine paru,
*PRE,' agit ' groupe quatre+vingts logements construits Paul+Chemetov Zac canal Courcouronnes ' est+à+dire ville nouvelle ' Evry,
*PRE,immeuble style rigoriste concepteur colonnade trois niveaux abritant commerçants rez+de+chaussée,
*PRE,grande traversée monumentale ' appelait ' époque fenêtre urbaine,
*PRE,quartier bouleversé ' hôpital ' Adrien+Fainsilber très célèbre temp remplacé écoquartier,
*PRE,' immeuble question percuté plein fouet mail planté,
*PRE,visite site internet mairie fait apparaître quelques paradox,
*PRE,exemple ' place ' anciennement nommé Place Copains d'Abord,
*PRE,côté peu bonhomme puis square s'appelait Square Brave Margot résidentialisés,
*PRE,ça veut dire quoi résidentialiser ça veut dire qu'on a installé grille imperméables,
*PRE,serum copains ' abord quelque sorte entre entre seuls,
*PRE,moque bien sûr question sécurité pa négligeables,
*PRE,c'est toujours assez attristant voir place copains ' abord devenir entourée grille,
*PRE,autre paradoxe,
*PRE,site municipal ville Courcouronnes figurent vingt+et+une image quelque sorte carte postales Courcouronnes,
*PRE,sculpture début clocher,
*PRE,grosse Ferme Bois Briard fameux canal a donné nom Zac canal,
*PRE,pavillons sou neige,
*PRE,parmi vingt+et+une image cinq vues groupes logements collectifs donc carte postale quatre,
*PRE,deux figurent magnifique ensemble d'Henri+Ciriani plus beau années quatre+vingts,
*PRE,complexe Chemetov celui là ' va détruire prochainement,
*PRE,détruit donc quelque sorte carte postale officielle cette ville nouvelle,
*PRE,dernier paradoxe,
*PRE,maire dit conscient démolition certains habitant très difficile,
*PRE,souhaite accompagner projet appelé mémoire quartier permettra habitant cite,
*PRE,remémorer ensemble ' histoire immeuble travers groupes parole également réalisation ' livret témoignages,
*PRE,ça fait maintenant façon commune dès ' détruit barre fait travailler enfants font dessins puis pleure ensemble,
*PRE,maire écrit l'architecte celui là dont va détruire ' immeuble donc,
*PRE,' inviter contribuer réussite projet bien vouloir joindre travail deuil,
*PRE,ça fait rire Roland+Castro a détruit déjà immeubles ?,
*PRE,local collectif résidentiel,
*PRE,attends village solaire,
*PRE,[ ! =rit ] faisait pa participer travail deuil ?,
*PRE,échanges dont parlais internet propos démolition réunissaient quelques architectes,
*PRE,notamment praticiens banlieues parmi l'urbaniste Christian+Devillers tenait propos assez modéré comme souvent,
*PRE,ville écrivait+t+il plus merveilleuse créations humaines parce ' fois permanence substitution,
*PRE,renouvelle party continuant ' accumuler valeur économique pratique symbolique,
*PRE,fait pa grand ensemble ni secteur sauvegardé bien sûr n'accumule pa grand choses,
*PRE,' scandalisé mouvement ' opinion ' architectes contre ' ouverture ' brèche ' muraille Courtillères Pantin oeuvre d'Aillaud,
*PRE,Aillaud ' fait spécialité négation vie quotidienne nom ' idéaux artistiques faiblards,
*PRE,sais pa si rejoignez là Christian+Devillers cette jugement Aillaud,
*PRE,c'est sorte petit parc grande pelouse arbres,
*PRE,xx a fait,
*PRE,faut bien dire quand cette cette grande boucle très longue fait beaucoup fait huit+cents mètres peut être courtières beauté plastique très grande,
*PRE,Dubuisson émietté coupé,
*PRE,bon revenons Courcouronnes revenons qu'écrit Christian+Devillers,
*PRE,somme loin excès ' opposé veut dire Courcouronnes,
*PRE,bâtiment Chemetov semble bien service ceux l'habitent ville ' entoure ' démontre contraire,
*PRE,pense pa bon bâtiment autant témoin irremplaçable architecture française années quatre+vingts poursuit Devillers,
*PRE,pense pa non plus Chemetov passé vie vouloir construire monument historiques,
*PRE,revanche ' a passé construire logements gen donnant plus grande importance valeur ' usage,
*PRE,' idée classement ' a sen bâtiments vraiment exceptionnels exemplaires,
*PRE,absurde dangereux vouloir protéger tous grand ensemble toutes halle SERNAM tous échangeurs ' autoroute toutes usines ruines,
*PRE,' exagère pa dit Devillers,
*PRE,' avenir ville exige qu'elle mémoire mémoire fonctionner ' intelligence doit être sélective,
*PRE,quel endroit ? Marseille ?,
*PRE,xxx classement a gen renvoient valeurs différentes,
*PRE,a exemple architectes sociologues gen terrain disent attention créez sorte deuil rémédiable,
*PRE,détruisez gen aimé,
*PRE,alors ça ' raisons résistance démolition tout va,
*PRE,deuxième raison ' raison effet patrimoniale apparue tout fait récemment a dizaine ' années environ,
*PRE,historiens comme Gérard+Monnier exemple commencé dire patrimoines années soixante certaine valeur artistique témoignage,
*PRE,faut conserver comme objet historique,
*PRE,intérêt aussi c'est quand regarde modèle si fait soin consacrant temp confronté destin gen,
*PRE,donc quelque sorte travaille,
*PRE,789310_793540,
*PRE,donc laissé Roland+Castro euh euh après avoir consacré deux courtes émissions biographie,
*PRE,deux émissions quelque sorte préliminaires celle ' aujourd'hui,
*PRE,avon laissé moment crise dépression,
*PRE,moment rupture mouvement Vive+La+Révolution dissolution,
*PRE,puis heureusement enfin psychanalyste Lacan 1971 1972 ça fait donc quarante an,
*PRE,mot quand Lacan,
*PRE,' reçu demande d'un auditeur monsieur Michel+Possompès,
*PRE,souhaiterait expliquiez trilogie lacanienne réelle imaginaire symbole ' usage faites architecture,
*PRE,rapidement hein [ ! = rit ],
*PRE,architecture ?,
*PRE,tête phallique ? monument tête phallique ?,
*PRE,parce qu'on parlait nom père,
*PRE,viendra va venir tout l'heure,
*PRE,donc voilà Lacan,
*PRE,grâce tout ça échappez peu dépression,
*PRE,reprendra temp temp quand grâce dieu,
*PRE,puis reprenez reprenez métier nègre collaborateur ' architecte,
*PRE,notamment euh bizarrement allé chez mec travaille architecte divisionnaire première classe préfecture police,
*PRE,a pa fait ça parce ' a ' vu ' a fait,
*PRE,toujours vivant hein crois,
*PRE,oui oui ' appelle euh Xavier+Carnoy ouais ' ça,
*PRE,fait sculpture animalières peu façon Pompon maintenant pa mal d'ailleurs,
*PRE,c'est a travaillé Peugeot Bulle Legrand Kodak fin c'était gros architecte,
*PRE,bien donc faut bien réentrer vie active,
*PRE,tentez travailler tel tel amis comme euh comme euh Petrovitch+Njegosh,
*PRE,comme euh xxxx,
*PRE,comme groupe créé d'autres xx xx xx,
*PRE,puis euh bon groupe sept,
*PRE,c'est xx venir encore bande fait,
*PRE,n'êtes pa architecte solitaire,
*PRE,cherchez bandes groupes,
*PRE,critique Monde,
*PRE,plus grand parfois,
*PRE,ça a failli démarrer quoi,
*PRE,ça a pa démarré,
*PRE,perdez contre,
*PRE,qu'on appelle ' Olympiade,
*PRE,puis fac tour petite faculté Tolbiac,
*PRE,peu ventru quand projet rapport sien,
*PRE,enfin faites quand projets notamment projet,
*PRE,' massé bourse travail Saint+Denis gros échangeur quand arrive Saint+Denis,
*PRE,quatre+vingt+trois ' achèvement crois Cimco enfin ' ' oeuvre ça principalement,
*PRE,alors ' oeuvre assez curieuse parce ' réminiscente côté peu constructiviste russe peu,
*PRE,peu colorée peu,
*PRE,trompette peu,
*PRE,l'époque ' pa qu'un parce souviens xxx ' inauguration ' donc,
*PRE,1983 printemps peut être grève euh,
*PRE,compagnie tabacs Seita,
*PRE,' édité cette occasion série tout fait étrange gauloises rouge paquet rouge,
*PRE,' conservé doi dire j'ai toujours magnifique paquet rouge,
*PRE,quatre+vingt+trois sais quelle grève Seita,
*PRE,cette architecture qualifiez peu peu,
*PRE,très narrative racontant plein choses peu peu peu profuses peu compliquées,
*PRE,peu confuses aussi profuses confuses peut être hein,
*PRE,dites aussi romanesque,
