speaker,text,label
*OFF,Bures+sur+Yvette bourg peut être frontières futur Grand Paris trente kilomètres capitale,fear
*OFF,certains habitant Bures devenir parisien oh pa si vite,
*OFF,beaucoup Grand Paris ' encore ' arlésienne,
*OFF,tranquillité ' bourg province ' avantage ' grande ville proximité,
*OFF,' cela habitant craignent perdre,
*OFF,chez ceux nombreux tout espèrent Grand Paris,
*OFF,leitmotiv ' amélioration transport,
*OFF,Grand Paris inquiète certains côtés,
*OFF,donc rallonger temp transport plus démunis ' exemple,
*CIT1,euh non ' Vallée+de+chevreuse ça restera Vallée+de+Chevreuse banlieusarde avant tout voilà,
*CIT1,banlieusarde avant tout voilà,
*CIT2,Paris moins ' vais mieux porte,
*CIT3,quand quand serum fait vais dire euh peut être plus là hein,
*CIT3,parce vingt an dit ça serum fait,
*CIT4,sent pa parisiens,
*CIT4,région parisienne sent pa parisiens,
*CIT4,' pa tout vie mènent parisiens,
*CIT5,avoir transport peu plus pratique ' a,
*CIT5,peu plus fiable plus sûr qu'il a,
*CIT6,pourrais euh aller banlieues euh adjacentes beaucoup plus facilement,
*CIT6,j'attends ça impatience,
*CIT7,Grand Paris s'il s'étend va sans doute devenir beaucoup plus cher aussi euh périphérie,
*CIT7,c'est dire générations arrivent euh peut être ça va encore plus expatrier région euh,
perception,`` moins ' vais mieux porte '' '' '',
perception,`` sent pa parisiens '' '' '',
perception,`` espèrent '' '' '',
perception,`` impatience '' '' '',
perception,`` inquiète '' '' '',
