speaker,text,label
*PRE,collectif Meudon dénonce hauteur future tour bureau centaine mètres chacune,joy
*PRE,' île écologique prévue Jean+Nouvel abritera trois+cent+dix+mille mètres carrés construction dont près moitié consacrée activités culturelles,
*PRE,aucun logement ' envisagé,
*PRE,voyez ici future rue commerçante proche complexe cinématographique grand jardin central plus moins couvert fonction saisons,
*PRE,historique site accueille ' usine Renault 1929 1992,
*PRE,jusqu ' trente+mille employés assemblent véhicules marque,
*PRE,depuis fermeture proposition ' aménagement cette île onze hectare multipliées,
*PRE,tous abandonnés projet adopté hier premier Grand Paris naît douleur,
*PRE,travaux gigantesque chantier devraient débuter 2013 livraison 2018 plusieurs association déjà annoncé,
*POL2,' plus belle concentration tous art qu'on proposer toute l'Europe,
*POL2,art numériques euh art cinématographiques art cirque art vivant musique danse ' art contemporain,
*POL2,' festival pôles destination,
*ARC,a commissaire enquêteur,
*ARC,a enquête ' très très bien passé tout monde considère ' a très bon équilibre euh pointe a quand cinq six cinq six hectare ' espaces verts,
*ARC,tout monde considère ' a très bon équilibre euh pointe a quand cinq six cinq six hectare ' espaces verts,
*ARC,euh a quand cinq six cinq six hectare ' espaces verts,
*RES,Meudon Bellevue ' euh cent mètres euh l'Ile Seguin,
*RES,traversez Seine Meudon Meudon ' juste face alors cent mètres mettre barrière ' immeubles pu être interrogés,
*RES,Meudon ' juste face alors cent mètres mettre barrière ' immeubles pu être interrogés,
*POL,criez très fort,
*POL,prochaine fois préviens fais évacuer salle,
perception,`` criez '' '' '',
perception,affrontements,
perception,`` dénonce '' '' '',
perception,`` plus belle '' '' '',
perception,`` festival '' '' '',
perception,`` douleur '' '' '',
perception,`` très très bien passé '' '' '',
perception,`` très bon '' '' '',
