speaker,text,label
*PRE,car dernières semaines parlé ' histoire Paris ' -il maintenant futur,fear
*PRE,car Paris doit tout fois rester fidèle histoire proteger incroyable patrimoine,
*PRE,temp ' capitale inscrit ' économie mondialisée,
*PRE,doit être respectueuse ' après- Kyoto ' dire sobre énergie peu polluantes,
*PRE,faut construire logements améliorer l'offre transport entre banlieue centre notament,
*PRE,c'est donc cadrature cercle,
*PRE,va tenter résoudre projets grand paris dont vais parler aujourd'hui,
*PRE,regardez cette vue aérienne,
*PRE,montre territoire ' environ quinze mille kilomètres carrés autour paris capitale france,
*PRE,quoi parlons exactement,
*PRE,bassin parisien région parisienne ' ile-de-france donc précis,
*PRE,' abord a ville paris -même intra-muros donc voyez limite administrative,
*PRE,dont longuement raconté ' histoire,
*PRE,delà ' ' appelle petite couronne,
*PRE,' agit départements immédiatement voisin paris,
*PRE,nombre trois,
*PRE,' abord a ville paris -même intra-muros donc voyez limite administrative dont longuement raconté ' histoire delà ' ' appelle petite couronne ' agit départements immédiatement voisin paris nombre trois hauts seine saint denis val-de-marne,
*PRE,Haut-de-Seine Seine-Saint-Denis Val-de-Marne,
*PRE,mêmes entourés départements grande couronne,
*PRE,Seine-et-Marne Essonne Yvelines Val d'Oise,
*PRE,c'est tout cet ensemble forme région IIe-de-France,
*PRE,Ile-de-France ' 22 régions compte pay,
*PRE,occupe moins trois cent territoire regroupe dix neuf cent population française génère seule trente cent PIB national,
*PRE,vie économique sociale région très centré capitale ' ailleurs tracé réseaux transport montre très bien,
*PRE,regardez plan rer réseau express régional,
*PRE,voit ligne convergent vers Paris rer contrairement nom réseaux indique,
*PRE,connecte pa villes périphérie entres elles,
*PRE,réseau certes très étendue aujourd'hui vieillissant surtout saturé,
*PRE,' abord manque ' investissement,
*PRE,surtout parce région parisienne a connu croissance démographique très importante,
*PRE,plus 20 cent petite couronne entre 1999 2009,
*PRE,ainsi rer a a souvent barre million voyageurs jour encore journée a plus voyageur ligne rer b ' ' a ' ensemble réseau tgv France,
*PRE,bien prendre mesure cette saturation comparons densité population,
*PRE,alors moyenne nationale 114 habitant kilomètre carré 976 Ile-de-France plus 21 mille habitant kilomètre carré Paris,
*PRE,fait ' ' plus forte densité urbaine monde,
*PRE,donner idée New York ' petit peu plus 10 mille habitant kilomètre carré,
*PRE,Hong Kong 6 400 habitant kilomètre carré,
*PRE,' explication cette densité ' faible superficie Paris,
*PRE,ville intra-muros fait 105 kilomètres carrés,
*PRE,peu comparé Berlin Rome encore Londres 15 fois plus vaste si contour administratifs différents,
*PRE,alors comment expliquer Paris si peu étendu comparaison autres capitales européennes,
*PRE,' abord ville ' a cessé ' être limité enceintes ' elles militaires administrative fiscal,
*PRE,enceinte Philippe Auguste enceinte Charles cinq barrière fiscale fermiers généraux fortification tier,
*PRE,cette dernière enceinte a détruit années 1920,
*PRE,' pourtant juste côté ' a construit partir 1960,
*PRE,cette autoroute urbaine ' boulevard périphérique fois encore limite isole ville,
*PRE,tout cela ' ajoute règlements ' urbanisme,
*PRE,jusqu ' Novembre 2010,
*PRE,quelques exception près hauteur constructibles limitée 25 mètres arrondissements centraux,
*PRE,37 mètres arrondissements périphériques,
*PRE,ceci afin protéger ' extraordinaire cohérence architectural cette ville vieille 2000 an,
*PRE,résumons superficie restreinte densité population importante hauteur construction limiité flux domicile travail convergent tous vers Paris,
*PRE,résultats Paris étouffe alors faire bien faut imaginer Paris plus grand Paris grandi somme Grand¨Paris,
*PRE,' ailleurs ' idée ' pa nouvelle 19e siècle Napoléon trois rêvent déjà ' capitale ' étendrait Saint Germain Laye environs Chelles,
*PRE,puis années 30 ' architecte urbaniste Henri Proste,
*PRE,établi plan directeur région parisienne propose désenclaver Paris,
*PRE,nouveaux ax routiers surtout redéfinition périmètre ' urbanisation banlieues,
*PRE,' voit comme porte ' entrée capitale,
*PRE,' idée ' Grand Paris revient fin années 2000,
*PRE,peut retenir trois éléments chantiers prévoir,
*PRE,gouvernance ' urbanisme logements transport,
*PRE,commençons transport,
*PRE,baptisé Grand Paris Express,
*PRE,réseau voyez là doit répondre nouveaux besoins,
*PRE,matière transport,
*PRE,favoriser plus grande attractivité région,
*PRE,' appuie ' ouverture nouvelles ligne modernisation ' extension ligne existantes,
*PRE,ainsi ligne quatorze prolongée nord direction Saint Denis sud jusqu ' ' aéroport ' Orly,
*PRE,ligne onze après premier prolongement,
*PRE,atteindra Noisy-Champs 2025,
*PRE,serum alors connectée rer a nouvelles ligne contourneront Paris,
*PRE,regardons justement nouvelles ligne prévues,
*PRE,ligne quinze serum opérationnelle 2030,
*PRE,' métro enterré ' capacité équivalente celle ' actuel métro parisien,
*PRE,dessert quartier ' affaire Défense,
*PRE,relie villes petite couronne,
*PRE,permet ' aller ' point autre évitant transiter centre Paris,
*PRE,ligne 16 devrait ouvrir 2023,
*PRE,' ligne métro automatique va désenclaver banlieues plus éloigné capitale,
*PRE,reliées ligne a b rer,
*PRE,ligne 17 prévus ' horizon 2027,
*PRE,doit connecter aeroports Roissy-Charles-de-Gaulle Bourget,
*PRE,ainsi permettre desert vers Paris,
*PRE,finir ligne 18,
*PRE,reliera 2030 ' aéroport ' Orly Versailles,
*PRE,traversant plateau Saclay important pôle ' enseignement recherche scientifique,
*PRE,après 2030 prolongement prévu jusqu ' Nanterre autre pôle d'enseignement importante université,
*PRE,total deux cent cinq kilomètres ligne,
*PRE,72 nouvelles gares,
*PRE,tout budget estimé actuellement 30 milliard ' euro,
*PRE,2 million voyageurs jour attendues ' ensemble réseau,
*PRE,reliera zone ' habitat aéroports grand pôles compétitivité donc bassins ' emploi,
*PRE,deuxième aspect lequel voulais ' arrêter projets ' urbanisme ' architecture,
*PRE,décembre 2007 lancé consultation internationale ' avenir Paris métropolitain,
*PRE,10 équipes internationale proposent alors vision ' grand Paris,
*PRE,tenant compte protocole Kyoto climat,
*PRE,parmi elles projet tout fait original ' celui ' architecte urbaniste Antoine Grumbak,
*PRE,idée ' Paris doit tourner vers mer via Rouen Havre vallée Seine,
*PRE,Paris effet rares grandes métropoles internationale ' pa ' embouchure ' port,
*PRE,or transport maritime stratégique planète mondialisé,
*PRE,21e siècle selon Grumbak Grand Paris doit donc doter ' pôle fluviaux maritimes,
*PRE,rester ville rang mondial,
*PRE,vallée Seine deviendrait ainsi ' axe métropole,
*PRE,permettant fois croissance linéaire plutôt radio concentrique,
*PRE,cette consultation lancée 2007 ' pa concours ' urbanisme,
*PRE,juste sorte brainstorming signifie ' aucune étude ' a sélectionné être réalisé,
*PRE,alors où aujourd'hui,
*PRE,réflexion poursuit sein ' atelier international Grand Paris,
*PRE,regroupe dix équipes participé consultation 2007,
*PRE,plus cinq équipes supplémentaires,
*PRE,paradoxalement groupement ' intérêt public ' pa interlocuteur ministère logement,
*PRE,où préparent pourtant loi ' urbanisme logement,
*PRE,' où certaine amertume participant devant cette incohérence,
