speaker,text,label
*PRE,tout deux+cents kilomètres ligne soixante+dix nouvelles gares censées désengorger transport franciliens,anger
*PRE,' idée née cours précédent quinquennat celui Nicolas+Sarkozy,
*PRE,cinq an changement majorité plus tard donne ' plus,
*PRE,treize décembre dernier Cécile+Duflot ministre charge Grand Paris express reçoit rapport très critique sujet,
*PRE,auteur Pascal+Auzannet conclut chantier chiffrerait non plus vingt plus trente+milliards ' euro,
*PRE,livraison finale 2040 plutôt 2025,
*PRE,protestation unanime élus concernés droite comme gauche,
*PRE,' assemblée nationale ' opposition voit là début d'enterrement projet demande aussi comptes,
*PRE,pa quoi rassurer totalement élus,
*PRE,mois dernier près quarante ' entre lancent appel depuis palais Bourbon veulent pa grand paris express sacrifié cause rigueur budgétaire obtenir métro prêts négocier,
*PRE,veulent pa Grand Paris express sacrifié cause rigueur budgétaire,
*PRE,obtenir métro prêts négocier,
*PRE,désormais revient premier ministre trancher,
*PRE,initialement prévue quinze février arbitrage Grand Paris express attendus tous prochains jours,
*POL1,' processus transformation,
*POL1,' ' exploitation tous possible,
*POL1,' bien conscience cette nouvelle page ' histoire Paris nul peut l'écrire seul,
*POL2,l'âge ' euh aussi euh va pa quand euh dire bon réveil momie 2000 3020 voilà hein,
*POL3,crains ' étalement temp trop long veuille dire dernières étapes euh ' grâce seigneur,
*POL3,' dire verra bien si arrive faire,
*POL3,parce quand dit va faire telle telle morceau vingt an serum bonne volonté ' état vingt an,
*POL4,rapport dont conseillers tout simplement dicté rédaction affligeant,
*POL4,pouvez engager aujourd'hui devant représentation nationale purement simplement mettre panier rapport,
*POL5,voudrais rappeler projet Cécile+Duflot ' dit mois juillet,
*POL5,projet Grand Paris express soutenu gouvernement totalité serum serum réalisé,
*POL6,pouvons réaliser partie aérien,
*POL6,' déjà fois plan technique délais plus court aussi coûts moins important puis euh pourrons matériels quais plus court plus court ' aussi euh économique,
*POL6,puis euh pourrons matériels quais plus court quais plus court ' aussi euh économie,
perception,`` tous possible '' '' '',
perception,`` très critique '' '' '',
perception,`` protestation unanime '' '' '',
perception,`` affligeant '' '' '',
perception,`` soutenu '' '' '',
perception,`` pa quoi rassurer totalement '' '' '',
