speaker,text,label
*PRE,maison trouve futur chantier métro Grand Paris,joy
*PRE,Grand Paris express c'est 200 kilomètres réseaux transport public,joy
*PRE,tout autour Paris,fear
*PRE,époux Boulet 24 leurs voisins,anger
*PRE,' déchirement,anger
*PRE,carton Abderrahmane Fekkane a dû résoudre faire 2017,joy
*PRE,boucherie aussi tracé Grand Paris express,fear
*PRE,pendant deux an commerce a fonctionné perte,sadness
*PRE,milieu engins chantier tranchées,fear
*PRE,contrecoeur a signé accord ' amiable,anger
*PRE,cinq an cet avocat a déffendu 150 client,anger
*PRE,chaque fois ' âpres négociations,anger
*PRE,selon société Grand Paris,fear
*PRE,90 cent dossier règlent ' amiable évitant ' expropriation,fear
*PRE,société Grand Paris propriétaires disposent deux an trouver,joy
*PRE,accord amiables solution personnalisées conviendront chacun,joy
*PRE,jour 400 familles commerçants entreprises dû déménager,sadness
*PRE,laisser place Grand Paris express,fear
perso 2,besoin donc 25 parcelles,joy
perso 2,25 parcelles là,joy
perso 2,donc ça commence a l'immeuble ça prend,anger
perso 2,tout toutes construction,fear
perso 2,tous pavillons jusqu ' là ba,fear
perso 3,a élever no enfants maisons,love
perso 3,a mal imaginer qu'un jour va devoir faire carrtons,sadness
perso 3,mettre toute vie carton,sadness
perso 3,aller endroit,fear
perso 3,où connaîtra personne,fear
perso 4,voila boucherie situait juste après bloc là,anger
perso 4,j'ose plus passer ici tellement passe plus ici,joy
perso 4,j'essaye d'oublier,sadness
perso 4,c'est très difficile,fear
perso 5,' difficile définir euh comment peut être bien bien indemniser,fear
perso 5,euh ' abord avant tout parce euh,joy
perso 5,l'expropriaton prend jamais compte dimension psychologique,love
perso 5,l'impact psychologique,sadness
perso 5,' appelle préjudice moral,sadness
