speaker,text,label
*PRE,' vingt+sept juin quand Maigret arriva poterne santé fonctionnaire attendri regardait chat blanc jouait chien crémière,anger
*PRE,doit avoir jours aussi où pavés plus sonores,sadness
*PRE,pa Maigret résonnèrent cour immense,anger
*PRE,bout ' couloir interrogea gardien,fear
*PRE,a appris,sadness
*PRE,pa encore,fear
*PRE,Georges+Simenon guinguette deux sou enquête commissaire maigret librairie Arthème+Fayard 1931,sadness
*PRE,métropolitain jeudi l'architecture,anger
*PRE,retrouvons aujourd'hui Roland+Castro,joy
*PRE,' architecte Roland+Castro,anger
*PRE,non pa ' souscrit abonnement cette émission ' déjà deux fois invité,sadness
*PRE,deux fois déferlement torrent ' actualité réduit peau chagrin temp consacrions,sadness
*PRE,deux émissions peine abordé origines,fear
*PRE,origines sociales notamment parlait jeunesse gauchisme psychanalyse,anger
*PRE,aujourd'hui passerons vif sujet serum propos architecture,anger
*PRE,Roland Ricardo+Porro rencontrions a trois semaines,anger
*PRE,considération propre architecture comme romantique Castro aussi sienne romanesque,love
*PRE,dira qu'il entend là,anger
*PRE,puis serum surtout bien sûr propos ' urbanisme,anger
*PRE,remodelage grand ensemble,anger
*PRE,Banlieues+89,anger
*PRE,évidemment Grand Paris,joy
*PRE,petite affaire HLM Courcouronnes,anger
*PRE,certains échanges internet depuis quelques jours posent fois plus question démolition grand petits ensemble logements sociaux,anger
*PRE,destin immeubles notamment banlieue parfois cruel leurs habitant aussi leurs architectes,anger
*PRE,notamment depuis nouvelles procédures rénovation urbaine,anger
*PRE,qu'on appelle Anru A R U,anger
*PRE,préconisent financent démolition nom diver critères,joy
*PRE,critères sociaux critères désenclavement puis parfois critères police surveillance critères sécurité,fear
*PRE,édifice figure catalogue ' exposition Pavillon ' Arsenal années quatre+vingts va faire frais,sadness
*PRE,faudra réimprimer page cent+quarante+neuf cet ouvrage peine paru,sadness
*PRE,' agit ' groupe quatre+vingts logements construits Paul+Chemetov Zac canal Courcouronnes ' est+à+dire ville nouvelle ' Evry,joy
*PRE,immeuble style rigoriste concepteur colonnade trois niveaux abritant commerçants rez+de+chaussée,joy
*PRE,grande traversée monumentale ' appelait ' époque fenêtre urbaine,fear
*PRE,quartier bouleversé ' hôpital ' Adrien+Fainsilber très célèbre temp remplacé écoquartier,fear
*PRE,' immeuble question percuté plein fouet mail planté,fear
*PRE,visite site internet mairie fait apparaître quelques paradox,surprise
*PRE,exemple ' place ' anciennement nommé Place Copains d'Abord,anger
*PRE,côté peu bonhomme puis square s'appelait Square Brave Margot résidentialisés,anger
*PRE,ça veut dire quoi résidentialiser ça veut dire qu'on a installé grille imperméables,joy
*PRE,serum copains ' abord quelque sorte entre entre seuls,anger
*PRE,moque bien sûr question sécurité pa négligeables,joy
*PRE,c'est toujours assez attristant voir place copains ' abord devenir entourée grille,joy
*PRE,autre paradoxe,fear
*PRE,site municipal ville Courcouronnes figurent vingt+et+une image quelque sorte carte postales Courcouronnes,joy
*PRE,sculpture début clocher,fear
*PRE,grosse Ferme Bois Briard fameux canal a donné nom Zac canal,anger
*PRE,pavillons sou neige,fear
*PRE,parmi vingt+et+une image cinq vues groupes logements collectifs donc carte postale quatre,sadness
*PRE,deux figurent magnifique ensemble d'Henri+Ciriani plus beau années quatre+vingts,joy
*PRE,complexe Chemetov celui là ' va détruire prochainement,fear
*PRE,détruit donc quelque sorte carte postale officielle cette ville nouvelle,sadness
*PRE,dernier paradoxe,fear
*PRE,maire dit conscient démolition certains habitant très difficile,sadness
*PRE,souhaite accompagner projet appelé mémoire quartier permettra habitant cite,joy
*PRE,remémorer ensemble ' histoire immeuble travers groupes parole également réalisation ' livret témoignages,sadness
*PRE,ça fait maintenant façon commune dès ' détruit barre fait travailler enfants font dessins puis pleure ensemble,sadness
*PRE,maire écrit l'architecte celui là dont va détruire ' immeuble donc,anger
*PRE,' inviter contribuer réussite projet bien vouloir joindre travail deuil,joy
*PRE,ça fait rire Roland+Castro a détruit déjà immeubles ?,joy
*PRE,local collectif résidentiel,joy
*PRE,attends village solaire,joy
*PRE,[ ! =rit ] faisait pa participer travail deuil ?,sadness
*PRE,échanges dont parlais internet propos démolition réunissaient quelques architectes,anger
*PRE,notamment praticiens banlieues parmi l'urbaniste Christian+Devillers tenait propos assez modéré comme souvent,joy
*PRE,ville écrivait+t+il plus merveilleuse créations humaines parce ' fois permanence substitution,joy
*PRE,renouvelle party continuant ' accumuler valeur économique pratique symbolique,joy
*PRE,fait pa grand ensemble ni secteur sauvegardé bien sûr n'accumule pa grand choses,sadness
*PRE,' scandalisé mouvement ' opinion ' architectes contre ' ouverture ' brèche ' muraille Courtillères Pantin oeuvre d'Aillaud,sadness
*PRE,Aillaud ' fait spécialité négation vie quotidienne nom ' idéaux artistiques faiblards,joy
*PRE,sais pa si rejoignez là Christian+Devillers cette jugement Aillaud,joy
*PRE,c'est sorte petit parc grande pelouse arbres,joy
*PRE,xx a fait,joy
*PRE,faut bien dire quand cette cette grande boucle très longue fait beaucoup fait huit+cents mètres peut être courtières beauté plastique très grande,joy
*PRE,Dubuisson émietté coupé,anger
