speaker,text,label
*PRE,en tout deux+cents kilomètres de lignes et soixante+dix nouvelles gares censées désengorger les transports franciliens,joy
*PRE,l' idée est née au cours du précédent quinquennat celui de Nicolas+Sarkozy ,anger
*PRE,cinq ans et un changement de majorité plus tard la donne n' est plus la même ,sadness
*PRE,le treize décembre dernier Cécile+Duflot la ministre en charge du Grand Paris express reçoit un rapport très critique sur le sujet ,anger
*PRE,son auteur Pascal+Auzannet y conclut que le chantier se chiffrerait non plus à vingt mais à plus de trente+milliards d' euros,joy
*PRE,livraison finale 2040 plutôt que 2025,joy
*PRE,protestation unanime des élus concernés de droite comme de gauche ,anger
*PRE,à l' assemblée nationale l' opposition qui voit là un début d'enterrement du projet demande elle aussi des comptes ,sadness
*PRE,pas de quoi rassurer totalement les élus ,joy
*PRE,le mois dernier près de quarante d' entre eux lancent un appel depuis le palais Bourbon ils ne veulent pas que le grand paris express soit sacrifié à cause de la rigueur budgétaire et pour obtenir leur métro ils sont prêts à négocier ,anger
*PRE,ils ne veulent pas que le Grand Paris express soit sacrifié à cause de la rigueur budgétaire,anger
*PRE,et pour obtenir leur métro ils sont prêts à négocier ,joy
*PRE,désormais il revient au premier ministre de trancher,joy
*PRE,initialement prévue le quinze février ses arbitrages sur le Grand Paris express sont attendus dans les tous prochains jours,fear
*POL1,c' est un processus de transformation,joy
*POL1,c' est l' exploitation de tous les possibles,joy
*POL1,et j' ai bien conscience que cette nouvelle page de l' histoire de Paris nul ne peut l'écrire seul,joy
*POL2,et l'âge que j' ai euh vous aussi euh on va pas quand même euh se dire que on est bon pour le réveil de la momie en 2000 en en en 3020 voilà hein,joy
*POL3,ce que je crains c' est que un étalement dans le temps trop long veuille dire que les dernières étapes euh c' est à la grâce du seigneur,fear
*POL3,c' est à dire que on verra bien si on arrive à le faire,joy
*POL3,parce que quand on vous dit on va faire telle ou telle morceau dans vingt ans ce sera à la bonne volonté de l' état dans vingt ans,love
*POL4,ce rapport dont vos conseillers ont tout simplement dicté la rédaction est affligeant,surprise
*POL4,pouvez vous vous engager aujourd'hui devant la représentation nationale à purement et simplement mettre au panier ce rapport,anger
*POL5,je voudrais vous rappeler que ce projet Cécile+Duflot l' avait dit au mois de juillet,anger
*POL5,le projet de Grand Paris express est soutenu par le gouvernement dans sa totalité et il sera et il sera réalisé,joy
*POL6,nous pouvons réaliser en partie en aérien,joy
*POL6,c' est déjà est à la fois sur le plan technique des délais plus courts et aussi des coûts moins important et puis euh pourrons sur les matériels des quais plus court des est plus court c' est aussi euh économique,joy
*POL6,et puis euh nous pourrons sur les matériels des quais plus courts des quais plus court c' est aussi euh une économie,joy
perception,"""tous les possibles""""""",joy
perception,"""très critique""""""",joy
perception,"""protestation unanime""""""",anger
perception,"""affligeant""""""",anger
perception,"""est soutenu""""""",love
perception,"""pas de quoi rassurer totalement""""""",joy
