speaker,text,label
*PRE,(Razida Arezid) avec Benjamin Poulain  et Claire (Verof),joy
*PRE,même s' ils sont très peu nombreux les riverains se serrent les coudes ,sadness
*PRE,ils ont lancé une pétition ,anger
*PRE,Nicole et Roger Lesellier n' ont pas hésités à la signer ,fear
*PRE,la société du grand paris ne compte pas modifier son projet ,anger
*PRE,mais affirme tout mettre en oeuvre pour les propriétaires concernés ,love
perso 2,le projet de toute une vie,sadness
perso 2,Jean François et Fabienne Boulet 76 et 70 ans ont emménagé dans cette maison il y a 20ans,joy
perso 2,aujourd'hui c'est le chantier du étro du Grand Paris qui enace leur quotidien,anger
perso 2,la futur ligne de métro doit relie la ville de Saint-Denis,joy
perso 2,à celle de Champigny en passant par Rosny-sous-Bois,fear
perso 2,en tout 25 maisons devraient être détruites totalement,sadness
perso 3,ils ont besoin donc de 25 parcelles,joy
perso 3,les 25 parcelle qui sont là,joy
perso 3,donc ça commence à l'immeuble et sa prend tout,anger
perso 3,toutes les constructions,anger
perso 3,tout les pavillons,anger
perso 3,jusque là bas ,fear
perso 3,euh,fear
perso 4,on a du mal à imaginer qu'un jour on va devoir faire des cartons,sadness
perso 4,mettre toute notre vie dans des cartons,sadness
perso 4,pour aller dans un endroit,fear
perso 4,où,anger
perso 4,on ne connaîtra personne,anger
perso 4,on a élever nos enfants dans ces maisons,anger
perso 4,on a ,anger
perso 4,je veux dire qu'il y    yy             a tant de souvenir aussi,love
perso 5,on se défendra le maximum,joy
perso 5,mais on a pas du tout envie de,joy
perso 6,comme euh dit Fabienne sa femme ,joy
perso 6,on s'attachera à la bariière,love
