speaker,text,label
*PRE, car ces dernières semaines je vous ai parlé de l' histoire de Paris mais qu' en est -il maintenant de son futur,fear
*PRE,car Paris doit tout à la fois rester fidèle à son histoire et proteger son incroyable patrimoine,love
*PRE,et en même temps c' est une capitale qui est inscrit dans l' économie mondialisée,joy
*PRE, elle doit être respectueuse de l' après- Kyoto c' est dire sobre en énergie peu polluantes ,joy
*PRE,il faut construire des logements améliorer l'offre de transport entre la banlieue et le centre notament,joy
*PRE,c'est donc la cadrature de ce cercle,joy
*PRE,que va tenter de résoudre les projets de grand paris et dont je vais vous parler aujourd'hui ,fear
*PRE,regardez cette vue aérienne ,surprise
*PRE,elle nous montre un territoire d' environ quinze mille kilomètres carrés autour de paris capitale de la france,fear
*PRE, mais de quoi parlons nous exactement  ,joy
*PRE,du bassin parisien de la région parisienne de l' ile-de-france donc soyons précis ,fear
*PRE,d' abord il y a la ville de paris elle -même intra-muros donc vous voyez la limite administrative ,fear
*PRE, et dont je vous ai longuement raconté l' histoire,anger
*PRE,au delà c' est ce qu' on appelle la petite couronne  ,anger
*PRE,il s' agit des départements immédiatement voisin de paris ,fear
*PRE,et qui sont au nombre de trois,anger
*PRE,d' abord il y a la ville de paris elle -même intra-muros donc vous voyez la limite administrative et dont je vous ai longuement raconté l' histoire au delà c' est ce qu' on appelle la petite couronne il s' agit des départements immédiatement voisin de paris et qui sont au nombre de trois hauts de seine saint denis val-de-marne ,joy
*PRE,Haut-de-Seine     Seine-Saint-Denis   Val-de-Marne,fear
*PRE,ils sont eux mêmes entourés par les départements de la grande couronne ,love
*PRE, Seine-et-Marne   Essonne    Yvelines et Val d'Oise  ,anger
*PRE,et c'est tout cet ensemble qui forme la région IIe-de-France ,joy
*PRE,Ile-de-France est l' une des 22 régions que compte le pays ,fear
*PRE, elle occupe moins de trois pour cent du territoire mais regroupe dix neuf pour cent de la population française et génère à elle seule trente et un pour cent du PIB national ,joy
*PRE,la vie économique et sociale de la région et très centré sur la capitale d' ailleurs le tracé des réseaux transport le montre très bien ,joy
*PRE,regardez ce plan du rer le réseau express régional ,joy
*PRE,on voit que les lignes convergent vers Paris et que le rer contrairement à ce que ce nom de réseaux indique ,joy
*PRE,ne connecte pas les villes de la périphérie entres elles ,sadness
*PRE,ce réseau est certes très étendue mais il est aujourd'hui vieillissant et surtout saturé ,fear
*PRE,d' abord par manque d' investissement,anger
*PRE, mais surtout parce que la région parisienne a connu une croissance démographique très importante,joy
*PRE, plus 20 pour cent dans la petite couronne entre 1999 et 2009,anger
*PRE,ainsi le rer a   a souvent la barre du million de voyageurs par jour ou encore en une journée il y a plus de voyageur sur la ligne rer b qu' il n' y en a sur l' ensemble du réseau tgv en France ,joy
*PRE,pour bien prendre la mesure de cette saturation comparons les densité de population ,fear
*PRE,alors que la moyenne nationale et de 114 habitants au kilomètre carré elle est de 976 en Ile-de-France et de plus de 21 mille habitants au kilomètre carré à Paris ,anger
*PRE,en fait c' est l' une des plus forte densité urbaine au monde,joy
*PRE,pour vous donner une idée New York c' est un petit peu plus que 10 mille habitants au kilomètre carré ,fear
*PRE,et Hong Kong 6 400  habitants au  kilomètre carré ,anger
*PRE,et l' une des explications de cette densité c' est la faible superficie de Paris ,sadness
*PRE,la ville intra-muros fait 105 kilomètres carrés ,fear
*PRE,ce qui est peu comparé à Berlin Rome ou encore Londres qui est 15 fois plus vaste même si les contours administratifs sont différents,anger
*PRE, alors comment expliquer que Paris soit si peu étendu en comparaison des autres capitales européennes ,anger
*PRE,d' abord la ville n' a cessé d' être limité par ces enceintes qu' elles soient militaires administrative ou fiscal ,anger
*PRE,enceinte de Philippe Auguste enceinte de Charles cinq barrière fiscale des fermiers généraux fortifications de tiers ,fear
*PRE,cette dernière enceinte a été détruit dans les années 1920,sadness
*PRE,mais c' est pourtant juste à côté qu' on a construit à partir de 1960 ,joy
*PRE,cette autoroute urbaine qu' est le boulevard périphérique et qui une fois encore limite et isole la ville ,fear
*PRE,à tout cela s' ajoute les règlements d' urbanisme ,anger
*PRE,jusqu' en Novembre 2010,joy
*PRE,et à quelques exceptions près la hauteur constructibles était limitée à 25 mètres dans les arrondissements centraux ,fear
*PRE,et à 37 mètres dans les arrondissements périphériques,fear
*PRE, ceci afin de protéger l' extraordinaire cohérence architectural de cette ville vieille de 2000 ans ,joy
*PRE,résumons superficie restreinte densité de population importante hauteur de construction limiité et les flux domicile travail qui convergent tous vers Paris ,fear
*PRE,résultats Paris étouffe alors que faire bien il faut imaginer à Paris plus grand un Paris grandi en somme un Grand¨Paris ,anger
*PRE,d' ailleurs l' idée n' est pas nouvelle au 19e siècle Napoléon trois rêvent déjà d' une capitale qui s' étendrait de Saint Germain en Laye aux environs de Chelles,love
*PRE,puis dans les années 30 l' architecte et urbaniste Henri Proste,anger
*PRE, établi un plan directeur de la région parisienne il propose de désenclaver Paris ,fear
*PRE, par de nouveaux axes routiers et surtout par une redéfinition du périmètre d' urbanisation et des banlieues ,fear
*PRE,qu' il voit comme les portes d' entrée de la capitale ,joy
*PRE,l' idée d' un Grand Paris revient à la fin des années 2000,anger
*PRE, on peut retenir trois éléments des chantiers à prévoir,fear
*PRE, la gouvernance l' urbanisme et les logements et les transports ,anger
*PRE,commençons par les transports ,fear
*PRE,baptisé Grand Paris Express,anger
*PRE, le réseau que vous voyez là doit répondre aux nouveaux besoins ,joy
*PRE,en matière de transport ,anger
*PRE,et favoriser une plus grande attractivité de la région ,joy
*PRE,il s' appuie sur l' ouverture de nouvelles lignes et sur la modernisation et l' extension des lignes existantes,joy
*PRE,ainsi la ligne quatorze est prolongée au nord en direction de Saint Denis et au sud jusqu' à l' aéroport d' Orly ,fear
*PRE,la ligne onze après un premier prolongement ,fear
*PRE,atteindra Noisy-Champs en 2025,anger
*PRE,et sera alors connectée au rer a et aux nouvelles lignes qui contourneront Paris,fear
*PRE,regardons justement ces nouvelles lignes prévues,fear
*PRE,la ligne quinze sera opérationnelle en 2030,joy
*PRE,c' est un métro enterré d' une capacité équivalente à celle de l' actuel métro parisien ,joy
*PRE,elle dessert le quartier d' affaires de La Défense ,joy
*PRE,relie les villes de la petite couronne,anger
*PRE,ce qui permet d' aller d' un point à un autre en évitant de transiter par le centre de Paris ,fear
*PRE,la ligne 16 devrait ouvrir en 2023,joy
*PRE, c' est une ligne de métro automatique qui va désenclaver les banlieues Est les plus éloigné de la capitale ,fear
*PRE,et les reliées aux lignes a et b du rer ,fear
*PRE,la ligne 17  prévus à l' horizon 2027,joy
*PRE,doit connecter les aeroports de Roissy-Charles-de-Gaulle et du Bourget,fear
*PRE,et ainsi permettre la desert vers Paris,anger
*PRE,et pour finir la ligne 18,fear
*PRE,elle reliera en 2030 l' aéroport d' Orly à Versailles,fear
*PRE, en traversant le plateau de Saclay qui est un important pôle d' enseignement et de recherche scientifique ,joy
*PRE,après 2030 un prolongement est prévu jusqu' à Nanterre autre pôle d'enseignement avec son importante université ,joy
*PRE,au total ce sont deux cent cinq kilomètres de lignes,joy
*PRE,72 nouvelles gares ,joy
*PRE,le tout pour un budget estimé actuellement à 30 milliards d' euros ,joy
*PRE,2 millions de voyageurs par jour sont attendues sur l' ensemble de ce réseau ,joy
*PRE,qui reliera les zones d' habitat les aéroports les grands pôles de compétitivité et donc des bassins d' emploi ,joy
*PRE,deuxième aspect sur lequel je voulais m' arrêter les projets d' urbanisme et d' architecture ,fear
*PRE,en décembre 2007 est lancé une consultation internationale pour l' avenir du Paris métropolitain ,joy
*PRE,10 équipes internationales proposent alors leur vision d' un grand Paris,joy
*PRE, en tenant compte du protocole de Kyoto sur le climat,anger
*PRE,parmi elles un projet tout à fait original c' est celui de l' architecte et urbaniste Antoine Grumbak,joy
*PRE,son idée c' est que Paris doit se tourner vers la mer via Rouen et Le Havre par la vallée de la Seine ,joy
*PRE,Paris est en effet une des rares grandes métropoles internationales qui n' est pas à l' embouchure d' un port ,anger
*PRE,or le transport maritime est stratégique sur notre planète mondialisé,joy
*PRE, au 21e siècle selon Grumbak le Grand Paris doit donc se doter d' un pôle fluviaux maritimes,joy
*PRE,pour rester une ville de rang mondial ,joy
*PRE,la vallée de la Seine deviendrait ainsi l' axe de la métropole ,love
*PRE,permettant pour une fois une croissance linéaire plutôt que radio concentrique ,joy
*PRE,mais cette consultation lancée en 2007 n' était pas un concours d' urbanisme ,anger
*PRE,juste une sorte de brainstorming ce qui signifie qu' aucune étude n' a été sélectionné pour être réalisé ,joy
*PRE, alors où en est on aujourd'hui ,fear
*PRE,la réflexion se poursuit au sein de l' atelier international du Grand Paris,fear
*PRE,qui regroupe les dix équipes ayant participé à la consultation de 2007,joy
*PRE, plus cinq équipes supplémentaires,joy
*PRE,mais paradoxalement ce groupement d' intérêt public n' est pas un interlocuteur au ministère du logement ,anger
*PRE,où se préparent pourtant une loi sur l' urbanisme et le logement ,fear
*PRE,d' où une certaine amertume de ses participants devant cette incohérence ,anger
*PRE,par ailleurs de nombreux projets architecturaux ponctuel et de tailles diverses ont été intégrées au Grand Paris à l' image de la tour triangle ,joy
*PRE,haute de 180 mètres elle sera au coeur du parc des expositions de la porte de Versailles ,joy
