speaker,text,label
*PRE, la maison se trouve sur le futur chantier du métro du Grand Paris ,joy
*PRE,le Grand Paris express c'est 200 kilomètres de réseaux de transports publics  ,joy
*PRE,tout autour de Paris ,fear
*PRE,mais pour les époux Boulet et  24 de leurs voisins,sadness
*PRE,c' est un déchirement ,anger
*PRE,ses cartons Abderrahmane Fekkane a dû se résoudre à les faire en 2017,sadness
*PRE,sa boucherie elle aussi était sur le tracé du Grand Paris express ,anger
*PRE,pendant deux ans son commerce a fonctionné à perte ,sadness
*PRE,au milieu des engins de chantier et des tranchées ,fear
*PRE, à contrecoeur il a signé un accord à l' amiable ,anger
*PRE,en cinq ans cet avocat a déffendu 150 clients ,anger
*PRE,à chaque fois d' âpres négociations ,anger
*PRE,selon la société du Grand Paris ,anger
*PRE,90 pour cent des dossiers se règlent à l' amiable en évitant l' expropriation ,fear
*PRE,la société du Grand Paris et les propriétaires disposent de deux ans pour trouver ,joy
*PRE,des accords amiables et des solutions personnalisées qui conviendront à chacun ,joy
*PRE,à ce jour 400 familles commerçants ou entreprises ont dû déménager ,sadness
*PRE,pour laisser place au Grand Paris express ,joy
perso 2,ils ont besoin donc de 25 parcelles,joy
perso 2,les 25 parcelles qui sont là,joy
perso 2,donc ça commence a l'immeuble et ça prend ,anger
perso 2,tout toutes les constructions,anger
perso 2,tous les pavillons jusqu'à là bas,sadness
perso 3,on a élever nos enfants dans ces maisons,anger
perso 3,on a du mal à imaginer qu'un jour on va devoir faire des carrtons,fear
perso 3,mettre toute une vie dans des cartons,sadness
perso 3,pour aller dans un endroit,fear
perso 3,où on ne connaîtra personne,anger
perso 4,voila ma boucherie se situait juste après le bloc là,joy
perso 4,j'ose même plus passer par ici  tellement que  je passe plus par  ici,fear
perso 4,j'essaye d'oublier mais,sadness
perso 4,c'est très difficile,fear
perso 5,c' est difficile de définir euh comment on peut être bien bien indemniser ,joy
perso 5,euh d' abord est avant tout parce que euh,joy
perso 5,l'expropriaton on prend jamais en compte la dimension psychologique,fear
perso 5,l'impact psychologique,sadness
perso 5,ce qu' on appelle le préjudice moral ,sadness
