speaker,text,label
*PRE,un aperçu ces réactions politiques à la sortie du discours ,anger
*PRE,Daik Audouit et Pierre Julien Quiers,joy
perso 3,les élus de gauche sont arrivés en rangs serrés ,fear
perso 3, prêts au combat,fear
perso 3,mais pas besoin de montrer les points,joy
perso 3,Nicolas Sarkozy leur a tendu la main et souhaite les associer à tous ses projets ,joy
perso 3,a droite sans surprise on se félicite Valérie Pécresse à son programme pour les régionales ,joy
perso 3,l' unanimité n' est plus de mise ,sadness
perso 3,sur l' urbanisme,anger
perso 3,pour certains nouvelle réglementation rime avec dérégulation ,anger
perso 3,hier l' heure était au consensus ,joy
perso 3,et aux tapes sur l' épaule ,love
perso 3,mais attention avec la campagne des régionales les points peuvent ,joy
perso 4,on peut bosser,joy
perso 4,dans la mesre où chacun a accepté de s'influencer ,love
perso 4, je crois que~ qu' il n' y a pas de volonté en tout cas exprimer ,joy
perso 4, d' imposer d' en haut ,anger
perso 5,c'est bien que on nous offre un véritable partenariat,joy
perso 5,euh pour un système de transport qui fonctionnera euh ,joy
perso 5,avec une échéance qu' on espère de ,joy
perso 5,de 10 ans ou moins euh ,fear
perso 5,je suis un peu sur ma faim quant au mode de financement,fear
perso 6,le fait qu' on parle de Paris monde ,anger
perso 6,de civilisation urbaine euh ,anger
perso 6, c' est quelque chose qui pour moi est très important,joy
perso 6,après pour les habitants les cocitoyens ,joy
perso 6,il faut les réalisations concrètes en matière de transport de logements de ville ,joy
perso 6,et c'est la dessus qu'il faut travailler ,joy
perso 7,il est évident que ce projet ,joy
perso 7, qui est un projet euh historique pour la région Ile-de-France ,joy
perso 7, qui va réveiller la région Ile-de-France,joy
perso 7,ça va être évidemment mon premier engagement ,joy
perso 8,le président a fixé 10 ans pour atteindre l' objectif ,joy
perso 8,donc c' est extrêmement ambitieux ,joy
perso 8,espérons que nous allons réussir ,joy
perso 9,il n' y a pas aborder les questions au gouvernement ,sadness
perso 9,de gouvernance ,anger
perso 9,donc euh on va vite pour mettre une loi en place,joy
perso 9,et c' est l' état qui a dirigé les structures (actuelles),anger
perso 9,enfin je pense que là le citoyen est loin de tout ça ,sadness
perso 9,et le politique aussi,anger
perso 9,là je sui sun peu interloqué ,fear
