speaker,text,label
*PRE,devraient durer 10 an commenceraient 2012,joy
*PRE,faut dire ' a urgence,fear
*PRE,regardez reportage William Van Daniel Petitcuenot ),anger
*PRE,aller plateau,fear
*PRE,Daik ( Codouite ) alors hier cité ' architecture transport,joy
*PRE,chef ' État a annoncé,anger
*PRE,' a dit fois mesure ' orientation,anger
*PRE,donner trounis,sadness
*PRE,alors également direct plateau,joy
*PRE,Jean-François Lamour Élu parisien,anger
*PRE,bonjour merci d'être là,love
*PRE,président groupe UMP ville Paris,anger
*PRE,président République a repris proposition socialistes,joy
*PRE,notamment ' urgence ligne 13,fear
*PRE,parlait l'instant ligne 14,anger
*PRE,réaction,fear
*PRE,merci,joy
*PRE,merci monsieur Lamour restez bien sûr direct,joy
*PRE,autre gros chantier logement,anger
*PRE,70 mille logements doivent être construits an Ile-de-France,fear
*PRE,double fait actuellement président République,anger
*PRE,veut finir dortoirs zone ' activités industrielles souhaite réintroduire villes,joy
perso 1,c'est comme ça tous matins,anger
perso 1,lundi vendredi,anger
perso 1,maman trois petite fille,anger
perso 1,Valérie Martins laisse famille endormie,sadness
perso 1,prendre train six heures,fear
perso 1,petite gare Fontaine-le-Port,anger
perso 1,depuis décembre,anger
perso 1,Valérie ' a plus train directs entre Fontaine-le-Port Paris,love
perso 1,doit changer quai Melun,fear
perso 1,quelques minute plus trajet,fear
perso 1,matin -là comme souvent ' petit gris,anger
perso 1,présente,anger
perso 1,fois Gare Lyon,anger
perso 1,Valérie encore très loin ' être arrivée,joy
perso 1,doit prendre correspondance,anger
perso 1,ligne quatorze,fear
perso 1,puis ligne neuf encore cinq minute pied,fear
perso 1,jusqu ' travail,fear
perso 1,Valérie brodeuse,love
perso 1,atelier couture 16e arrondissement,joy
perso 1,porte-à-porte mi heure quarante cinq,fear
perso 1,trajet ' faudra refaire sen inverse quelques heures,fear
perso 1,sommeil bien mérité car demain déjà tout recommence,joy
perso 2,' rythme prendre euh,fear
perso 2,lève cinq heures puis après euh,fear
perso 2,viens pied c'est 10 minute pied,joy
perso 2,' claqué porte,fear
perso 2,tout monde dormait,anger
perso 2,plus grande reveille toute seule débrouille prend bus,joy
perso 2,euh fille neuf an trois an ' mari prépare avant ' aller travailler,joy
perso 2,euh non ça ça empire,anger
perso 2,a beaucoup train gris,anger
perso 2,rapport ' époque,anger
perso 2,train deux étages,fear
perso 2,train euh l'hiver euh a pa tout chauffage,anger
perso 2,gèle,anger
perso 2,a trop chauffage,anger
perso 2,puis très ( ? ),fear
perso 2,c'est ligne 14 ligne a desfois bus,anger
perso 2,change peu,fear
perso 2,bus c'est plus agréable aussi,joy
perso 2,met peu plus temp quand,anger
perso 2,vie c'est quand meme perte temp,sadness
perso 2,tous jours,fear
perso 2,oui ça vaut coup quand parce ' toujours vécu campagne,joy
perso 2,j'ai pa envie changer,joy
perso 2,deux ouvrières habiter très loin,anger
perso 2,donc préfère arriver bonne heure matin repartir euh très tôt soir,joy
perso 2,euh ' occuper enfants repas bain après dodo voilà,joy
perso 3,bah oui a tellement projets ' a tête tourne,joy
perso 3,monsieur Braquezec président Plaine Commune,anger
perso 3,' intercommunalité autour Saint-Denis,anger
perso 3,alors transport crée grand mythe autour Paris,anger
perso 3,prolonge ligne déjà existantes,joy
perso 3,veut réfléchir tarification temp réfléchir ' organisation,joy
perso 3,a pa trop choses temp,sadness
perso 3,' manque peu priorité,sadness
perso 3,fera pa tout temp,anger
perso 3,dirait qu'il manque priorité,sadness
perso 3,parce moment faut dire,anger
perso 3,c'est ça qu'on commence premier,joy
perso 4,sais pa,fear
perso 4,ça dépendra moyens qu'on donnera autres,joy
