speaker,text,label
*PRE,' thème savez paraît bien loin préoccupations parisiens,fear
*PRE,direct Dhaïk alors pourquoi politiques tiennent autant,anger
*PRE,quelles proposition candidats ' différencies,joy
*PRE,merci Dhaik toutes précisions,joy
perso 2,ben faut rappeler ' déjà Grand Paris,anger
perso 2,structure commune regrouperait Paris villes voisines,joy
perso 2,thème arrivé 2006 ' Françoise Panafieu ' emparée,joy
perso 2,parce c'est moyen ' attaqué Bertrand Delanoë,anger
perso 2,dire ' décide Paris sans soucier conséquences banlieue,anger
perso 2,alors Bertrand Delanoë a répliqué dès 2006 créant conférence mé~ métropolitaine,anger
perso 2,fois trimestre réunit maires banlieue,anger
perso 2,Nicolas Sarkozy ' également emparé débat,anger
perso 2,ça ' parce ( l'hyper ) président veut être étranger aucun dossier,anger
perso 2,puis parce ça concerne surtout aussi petit peu Hauts-de-Seine,fear
perso 2,départements lequel a toujours oeil très attentif,love
perso 2,alors tous candidats ' accord fond nécessité créer cette structure commune,joy
perso 2,contre mise place méthode a deux écoles,anger
perso 2,a ' école petits pa ' celle ' UMP Verts,anger
perso 2,considère ' faut ' abord définir projet concret,fear
perso 2,exemple transport,anger
perso 2,après invite maires commune voisines venir voir comment ça passe,joy
perso 2,voit si ' possible voit comment peut ' organiser,joy
perso 2,puis a ' autre école dit~ veut mettre place grande structure commune,anger
perso 2,avant~ après définir projets,fear
perso 2,' ca Bertrand Delanoë ' engage fois élu,joy
perso 2,a~ fois élu pardon,joy
perso 2,si réélu,anger
perso 2,regrouper tous maires nouvellement élu,joy
perso 2,décidé quel périètre qu'il appelle Paris métropole,fear
perso 2,c'est ca modem,joy
perso 2,voudraient plus soumettre conclusion référendum auprès habitant franciliens,joy
perso 2,histoire d'intéresser lecteurs,surprise
perso 2,parce c'est vrai,joy
perso 2,c'est thème passionne politiques,love
perso 2,parce ça bouleverse,fear
perso 2,euh,fear
perso 2,structure collectivités locale,anger
perso 2,' vrai peut être pensé ça passe petit peu dessus tête,joy
perso 2,euh,fear
perso 2,électeurs concret leurs préoccupations,joy
